sequence,intent,label
выключи персональный компьютер этот,shutdown,0
выключи компьютер этот,shutdown,0
выключи персональный комп этот,shutdown,0
выключи ПК этот,shutdown,0
выключи комп этот,shutdown,0
выключи ноутбук этот,shutdown,0
выключи ноут этот,shutdown,0
выключи персональный компьютер сей,shutdown,0
выключи компьютер сей,shutdown,0
выключи персональный комп сей,shutdown,0
выключи ПК сей,shutdown,0
выключи комп сей,shutdown,0
выключи ноутбук сей,shutdown,0
выключи ноут сей,shutdown,0
выключи персональный компьютер данный,shutdown,0
выключи компьютер данный,shutdown,0
выключи персональный комп данный,shutdown,0
выключи ПК данный,shutdown,0
выключи комп данный,shutdown,0
выключи ноутбук данный,shutdown,0
выключи ноут данный,shutdown,0
выключи персональный компьютер мой,shutdown,0
выключи компьютер мой,shutdown,0
выключи персональный комп мой,shutdown,0
выключи ПК мой,shutdown,0
выключи комп мой,shutdown,0
выключи ноутбук мой,shutdown,0
выключи ноут мой,shutdown,0
выключи персональный компьютер,shutdown,0
выключи компьютер,shutdown,0
выключи персональный комп,shutdown,0
выключи ПК,shutdown,0
выключи комп,shutdown,0
выключи ноутбук,shutdown,0
выключи ноут,shutdown,0
персональный компьютер выключи этот,shutdown,0
комп выключи этот,shutdown,0
компьютер выруби этот,shutdown,0
ноутбук выруби этот,shutdown,0
персональный комп отключи этот,shutdown,0
ноут отключи этот,shutdown,0
ПК обесточь этот,shutdown,0
персональный компьютер выключи сей,shutdown,0
комп выключи сей,shutdown,0
компьютер выруби сей,shutdown,0
ноутбук выруби сей,shutdown,0
персональный комп отключи сей,shutdown,0
ноут отключи сей,shutdown,0
ПК обесточь сей,shutdown,0
персональный компьютер выключи данный,shutdown,0
комп выключи данный,shutdown,0
компьютер выруби данный,shutdown,0
ноутбук выруби данный,shutdown,0
персональный комп отключи данный,shutdown,0
ноут отключи данный,shutdown,0
ПК обесточь данный,shutdown,0
персональный компьютер выключи мой,shutdown,0
комп выключи мой,shutdown,0
компьютер выруби мой,shutdown,0
ноутбук выруби мой,shutdown,0
персональный комп отключи мой,shutdown,0
ноут отключи мой,shutdown,0
включи музыку,manage_media,1
переключи музыку,manage_media,1
приостанови музыку,manage_media,1
прекрати музыку,manage_media,1
продолжи музычку,manage_media,1
останови музычку,manage_media,1
отключи музычку,manage_media,1
воспроизведи музяку,manage_media,1
переключи на следующую музяку,manage_media,1
оставь на паузе музяку,manage_media,1
вруби музыку эту,manage_media,1
следующую музыку эту,manage_media,1
поставь на паузу музыку эту,manage_media,1
включи музычку эту,manage_media,1
переключи музычку эту,manage_media,1
приостанови музычку эту,manage_media,1
прекрати музычку эту,manage_media,1
продолжи музяку эту,manage_media,1
останови музяку эту,manage_media,1
отключи музяку эту,manage_media,1
воспроизведи музыку данную,manage_media,1
переключи на следующую музыку данную,manage_media,1
оставь на паузе музыку данную,manage_media,1
вруби музычку данную,manage_media,1
следующую музычку данную,manage_media,1
поставь на паузу музычку данную,manage_media,1
включи музяку данную,manage_media,1
переключи музяку данную,manage_media,1
приостанови музяку данную,manage_media,1
прекрати музяку данную,manage_media,1
продолжи музыку сию,manage_media,1
останови музыку сию,manage_media,1
отключи музыку сию,manage_media,1
воспроизведи музычку сию,manage_media,1
переключи на следующую музычку сию,manage_media,1
оставь на паузе музычку сию,manage_media,1
вруби музяку сию,manage_media,1
следующую музяку сию,manage_media,1
поставь на паузу музяку сию,manage_media,1
включи музыку мою,manage_media,1
переключи музыку мою,manage_media,1
приостанови музыку мою,manage_media,1
прекрати музыку мою,manage_media,1
продолжи музычку мою,manage_media,1
останови музычку мою,manage_media,1
отключи музычку мою,manage_media,1
воспроизведи музяку мою,manage_media,1
переключи на следующую музяку мою,manage_media,1
оставь на паузе музяку мою,manage_media,1
вруби музыку,manage_media,1
следующую музыку,manage_media,1
поставь на паузу музыку,manage_media,1
включи музычку,manage_media,1
переключи музычку,manage_media,1
приостанови музычку,manage_media,1
прекрати музычку,manage_media,1
продолжи музяку,manage_media,1
останови музяку,manage_media,1
отключи музяку,manage_media,1
музяку включи эту,manage_media,1
музыку воспроизведи эту,manage_media,1
музычку продолжи эту,manage_media,1
музяку переключи эту,manage_media,1
музыку переключи на следующую эту,manage_media,1
смени цвет лампы моей,change_lamp_color,2
измени цвет лампы моей,change_lamp_color,2
поменяй цвет лампы моей,change_lamp_color,2
замени окраску лампы моей,change_lamp_color,2
смени окраску лампы моей,change_lamp_color,2
измени окраску лампы моей,change_lamp_color,2
поменяй окраску лампы моей,change_lamp_color,2
замени цвет лампочки моей,change_lamp_color,2
смени цвет лампочки моей,change_lamp_color,2
измени цвет лампочки моей,change_lamp_color,2
поменяй цвет лампочки моей,change_lamp_color,2
замени окраску лампочки моей,change_lamp_color,2
смени окраску лампочки моей,change_lamp_color,2
измени окраску лампочки моей,change_lamp_color,2
поменяй окраску лампочки моей,change_lamp_color,2
замени цвет лампы,change_lamp_color,2
смени цвет лампы,change_lamp_color,2
измени цвет лампы,change_lamp_color,2
поменяй цвет лампы,change_lamp_color,2
замени окраску лампы,change_lamp_color,2
смени окраску лампы,change_lamp_color,2
измени окраску лампы,change_lamp_color,2
поменяй окраску лампы,change_lamp_color,2
замени цвет лампочки,change_lamp_color,2
смени цвет лампочки,change_lamp_color,2
измени цвет лампочки,change_lamp_color,2
поменяй цвет лампочки,change_lamp_color,2
замени окраску лампочки,change_lamp_color,2
смени окраску лампочки,change_lamp_color,2
измени окраску лампочки,change_lamp_color,2
поменяй окраску лампочки,change_lamp_color,2
замени цвет светильника моего,change_lamp_color,2
смени цвет светильника моего,change_lamp_color,2
измени цвет светильника моего,change_lamp_color,2
поменяй цвет светильника моего,change_lamp_color,2
замени окраску светильника моего,change_lamp_color,2
смени окраску светильника моего,change_lamp_color,2
измени окраску светильника моего,change_lamp_color,2
поменяй окраску светильника моего,change_lamp_color,2
замени цвет светильничка моего,change_lamp_color,2
смени цвет светильничка моего,change_lamp_color,2
измени цвет светильничка моего,change_lamp_color,2
поменяй цвет светильничка моего,change_lamp_color,2
замени окраску светильничка моего,change_lamp_color,2
смени окраску светильничка моего,change_lamp_color,2
измени окраску светильничка моего,change_lamp_color,2
поменяй окраску светильничка моего,change_lamp_color,2
замени цвет светильника,change_lamp_color,2
смени цвет светильника,change_lamp_color,2
измени цвет светильника,change_lamp_color,2
поменяй цвет светильника,change_lamp_color,2
замени окраску светильника,change_lamp_color,2
смени окраску светильника,change_lamp_color,2
измени окраску светильника,change_lamp_color,2
поменяй окраску светильника,change_lamp_color,2
замени цвет светильничка,change_lamp_color,2
смени цвет светильничка,change_lamp_color,2
измени цвет светильничка,change_lamp_color,2
поменяй цвет светильничка,change_lamp_color,2
замени окраску светильничка,change_lamp_color,2
смени окраску светильничка,change_lamp_color,2
измени окраску светильничка,change_lamp_color,2
поменяй окраску светильничка,change_lamp_color,2
открой программу мою,open_programm,3
включи программу мою,open_programm,3
запусти программу мою,open_programm,3
открой прогу мою,open_programm,3
включи прогу мою,open_programm,3
запусти прогу мою,open_programm,3
открой приложку мою,open_programm,3
включи приложку мою,open_programm,3
запусти приложку мою,open_programm,3
открой программу,open_programm,3
включи программу,open_programm,3
запусти программу,open_programm,3
открой прогу,open_programm,3
